Date created,Year,Geography,Median Household Income,Margin of Error
03/13/2026,2018,Charles,"$   92,616","$   6,170"
03/13/2026,2018,Dorchester,"$   48,682","$   4,431"
03/13/2026,2018,Frederick,"$   95,196","$   3,711"
03/13/2026,2018,Garrett,"$   49,147","$   4,851"
03/13/2026,2018,Harford,"$   87,959","$   3,723"
03/13/2026,2018,Howard,"$   116,719","$   4,894"
03/13/2026,2018,Kent,"$   55,514","$   5,247"
03/13/2026,2018,Montgomery,"$   107,758","$   2,511"
03/13/2026,2018,Prince George's,"$   82,445","$   1,695"
03/13/2026,2018,Queen Anne's,"$   93,751","$   4,974"
03/13/2026,2018,St. Mary's,"$   89,964","$   6,412"
03/13/2026,2018,Somerset,"$   42,098","$   4,133"
03/13/2026,2018,Talbot,"$   64,245","$   6,221"
03/13/2026,2018,Washington,"$   62,556","$   2,326"
03/13/2026,2018,Wicomico,"$   54,313","$   4,071"
03/13/2026,2018,Worcester,"$   59,266","$   4,417"
03/13/2026,2018,Baltimore city,"$   50,501","$   1,283"
03/13/2026,2017,Maryland,"$   80,711",$   688
03/13/2026,2017,Allegany,"$   42,564","$   2,389"
03/13/2026,2017,Anne Arundel,"$   96,133","$   3,317"
03/13/2026,2017,Baltimore,"$   73,309","$   2,525"
03/13/2026,2017,Calvert,"$   100,000","$   7,761"
03/13/2026,2017,Caroline,"$   56,338","$   4,591"
03/13/2026,2017,Carroll,"$   92,890","$   4,403"
03/13/2026,2017,Cecil,"$   72,259","$   5,041"
03/13/2026,2017,Charles,"$   94,478","$   6,200"
03/13/2026,2017,Dorchester,"$   47,011","$   4,315"
03/13/2026,2017,Frederick,"$   91,727","$   4,577"
03/13/2026,2017,Garrett,"$   46,899","$   4,341"
03/13/2026,2017,Harford,"$   80,922","$   3,766"
03/13/2026,2017,Howard,"$   111,576","$   2,671"
03/13/2026,2017,Kent,"$   57,760","$   5,803"
03/13/2026,2017,Montgomery,"$   102,944","$   2,426"
03/13/2026,2017,Prince George's,"$   80,858","$   1,371"
03/13/2026,2017,Queen Anne's,"$   90,696","$   6,516"
03/13/2026,2017,St. Mary's,"$   82,433","$   4,295"
03/13/2026,2017,Somerset,"$   40,320","$   4,191"
03/13/2026,2017,Talbot,"$   70,620","$   5,233"
03/13/2026,2017,Washington,"$   59,828","$   2,887"
03/13/2026,2017,Wicomico,"$   52,341","$   4,087"
03/13/2026,2017,Worcester,"$   61,405","$   4,112"
03/13/2026,2017,Baltimore city,"$   46,762","$   1,376"
03/13/2026,2016,Maryland,"$   78,787",$   717
03/13/2026,2016,Allegany,"$   44,708","$   2,618"
03/13/2026,2016,Anne Arundel,"$   95,297","$   2,976"
03/13/2026,2016,Baltimore,"$   72,305","$   2,038"
03/13/2026,2016,Calvert,"$   97,188","$   6,891"
03/13/2026,2016,Caroline,"$   49,616","$   3,127"
03/13/2026,2016,Carroll,"$   89,529","$   4,117"
03/13/2026,2016,Cecil,"$   70,504","$   5,044"
03/13/2026,2016,Charles,"$   93,947","$   4,001"
03/13/2026,2016,Dorchester,"$   44,491","$   3,942"
03/13/2026,2016,Frederick,"$   89,541","$   3,211"
03/13/2026,2016,Garrett,"$   46,710","$   3,652"
03/13/2026,2016,Harford,"$   83,595","$   3,496"
03/13/2026,2016,Howard,"$   119,386","$   4,315"
03/13/2026,2016,Kent,"$   54,210","$   4,159"
03/13/2026,2016,Montgomery,"$   99,604","$   1,665"
03/13/2026,2016,Prince George's,"$   78,680","$   1,507"
03/13/2026,2016,Queen Anne's,"$   79,966","$   5,224"
03/13/2026,2016,St. Mary's,"$   80,049","$   6,036"
03/13/2026,2016,Somerset,"$   38,546","$   4,023"
03/13/2026,2016,Talbot,"$   62,264","$   5,109"
03/13/2026,2016,Washington,"$   54,643","$   2,944"
03/13/2026,2016,Wicomico,"$   50,015","$   3,730"
03/13/2026,2016,Worcester,"$   53,509","$   4,285"
03/13/2026,2016,Baltimore city,"$   46,604","$   1,459"
03/13/2026,2015,Maryland,"$   75,784",$   581
03/13/2026,2015,Allegany,"$   39,859","$   3,112"
03/13/2026,2015,Anne Arundel,"$   90,825","$   1,834"
03/13/2026,2015,Baltimore,"$   68,317","$   2,340"
03/13/2026,2015,Calvert,"$   98,937","$   6,712"
03/13/2026,2015,Caroline,"$   51,294","$   4,257"
03/13/2026,2015,Carroll,"$   84,506","$   3,610"
03/13/2026,2015,Cecil,"$   68,972","$   3,418"
03/13/2026,2015,Charles,"$   87,941","$   3,176"
03/13/2026,2015,Dorchester,"$   44,664","$   3,869"
03/13/2026,2015,Frederick,"$   83,746","$   2,701"
03/13/2026,2015,Garrett,"$   46,469","$   3,500"
03/13/2026,2015,Harford,"$   77,992","$   3,615"
03/13/2026,2015,Howard,"$   110,224","$   3,733"
03/13/2026,2015,Kent,"$   52,274","$   5,253"
03/13/2026,2015,Montgomery,"$   98,314","$   2,425"
03/13/2026,2015,Prince George's,"$   76,366","$   1,204"
03/13/2026,2015,Queen Anne's,"$   83,914","$   6,123"
03/13/2026,2015,St. Mary's,"$   83,148","$   5,466"
03/13/2026,2015,Somerset,"$   38,692","$   3,496"
03/13/2026,2015,Talbot,"$   62,018","$   5,104"
03/13/2026,2015,Washington,"$   55,270","$   3,456"
03/13/2026,2015,Wicomico,"$   52,153","$   2,893"
03/13/2026,2015,Worcester,"$   53,366","$   3,517"
03/13/2026,2015,Baltimore city,"$   43,192","$   1,804"
